525;0;0;0;0.7;-1;9001;700;17;0;300;2996995;2;128;0;255;1;1;8;0;18;180;350;0;111;0;180;0;0;0;0;0;0;0;0;0;0;91;46;128;10000;25;1;0;10000;-100000;0;0;SS_BULLET_DUMMY2;
525;0;0;0;0.7;-1;9001;700;17;0;300;2996995;2;128;0;255;1;1;8;0;18;0;350;0;111;0;180;0;0;0;0;0;0;0;0;0;0;154;77;128;10000;25;1;0;10000;-100000;0;0;SS_BULLET_KH_ALPHA;
526;0;0;0;0;-1;9001;2500;150;0;350;4882882;2;255;255;255;1;1;8;0;18;0;1500;0;111;0;255;0;0;0;0;0;0;0;0;0;0;550;330;128;10000;25;1;0;10000;-100000;0;0;SS_BULLET_KH_BETA;
527;0;0;0;0;-1;9001;7500;500;0;400;6071500;2;255;255;0;1;1;8;0;18;0;4500;0;111;0;255;0;0;0;0;0;0;0;0;0;0;3900;2340;128;10000;25;1;0;10000;-100000;0;0;SS_BULLET_KH_GAMMA;
effects\weapons\bullet_Repair;0;0;0;0;-1;9001;0;20;0;500;2200000;162;255;150;1;1;1;5;0;18;0;40;0;113;0;180;0;0;0;0;0;0;0;0;0;0;0;7;128;10000;25;1;0;10000;-100000;0;0;SS_BULLET_REPAIR;
effects\weapons\bullet_FragBomb_Fragment;0;0;0;0;-1;9001;220;4;907;300;250000;256;48;16;192;1;1;4;0;186;185;21;0;0;0;130;0;0;0;0;0;0;0;0;0;0;2703;439;128;10000;25;1;0;10000;-100000;0;0;SS_BULLET_FBL_FRAG;
effects\weapons\bullet_LS_alpha;0;0;0;0;-1;9001;220;4;907;400;1050000;256;48;16;192;12;12;3;0;156;22;21;1;0;0;150;0;0;0;0;0;0;15;3;0;0;2703;439;128;10000;25;1;0;10000;-100000;0;0;SS_BULLET_FLAK_CLUSTER_FRAG;
effects\weapons\bullet_LS_alpha;0;0;0;0;-1;9001;220;4;907;200;600000;256;48;16;192;12;12;3;0;156;22;21;0;0;0;150;0;0;0;0;0;0;0;0;0;0;11;21;128;10000;25;1;0;10000;-100000;0;0;SS_BULLET_FLAK_CLUSTER_FRAG_FRAG;
effects\weapons\bullet_LS_alpha;0;0;0;0;-1;9001;220;4;907;1200;581000;256;48;16;192;0.07;0.07;4;0;15;22;21;0;0;0;150;0;0;0;0;0;0;0;0;0;0;220;4;128;10000;25;1;0;10000;-100000;0;0;SS_BULLET_FLAK_ALPHA_FRAG;
225;0;0;0;0;-1;9001;220;4;907;1000;127000;8;48;16;192;0.07;0.07;4;0;15;22;21;0;0;0;150;0;0;0;0;0;0;0;0;0;0;220;4;128;10000;25;1;0;10000;-100000;0;0;SS_BULLET_TERRANANTIFIGHTER_FRAG;
517;0;0;0;0;-1;9001;2700;28;909;3405;323000;0;192;192;0;0.08;0.08;5;0;23;25;1620;0;112;0;180;0;0;0;0;0;0;0;0;0;0;2700;28;128;10000;25;1;0;10000;-100000;0;0;SS_BULLET_EMP_1;
effects\weapons\bullet_MAM;0;0.3;-0.4;0.5;0;0;7845;246;916;8150;244500;320;255;255;255;1;1;1;0;196;195;2615;0;112;0;180;0;0;0;0;0;0;0;0;0;0;7845;246;91;0;0;0;0;0;-100000;0;0;SS_BULLET_MAM_1;
300;0;0;0;0;-1;9001;20785;1200;916;1000;1100000;0;255;255;255;15;15;3;0;199;200;3374;0;0;0;180;0;0;0;0;0;0;0;0;0;0;20785;1200;128;10000;25;1;0;10000;-100000;0;0;SS_BULLET_TERRANANTIFIGHTER_1;
10459;0;0;0;0;-1;9001;12563;456;909;0;0;768;128;192;16;12;12;4;0;178;179;523;0;112;0;180;0;20;1200;0;0;0;7;4;0;0;12563;456;128;10000;25;1;0;10000;-100000;0;0;SS_BULLET_IPG_FRAG;
